ID,F37,F41,F3,F13,F18,F23,F30
240000,1,1,20,1,0,2,1
240001,1,1,4,1,0,2,2
240002,1,2,29,1,0,1,3
240003,1,2,8,1,0,1,9
240004,1,2,4,1,0,1,1
240005,1,2,200,1,1,1,1
240006,1,1,17,1,0,2,2
240007,1,2,49,1,0,1,1
240008,1,1,27,2,1,2,1
240009,1,2,4,1,0,0,1
240010,1,2,48,1,0,1,3
240011,1,2,16,1,0,1,1
240012,3,2,4,2,0,0,1
240013,1,2,48,2,0,1,2
240014,1,1,200,1,1,2,2
240015,1,2,4,1,0,2,2
240016,1,1,4,1,0,0,9
240017,1,1,48,1,0,1,2
240018,1,1,31,1,0,2,2
240019,1,2,38,2,0,1,1
240020,2,2,22,1,0,1,2
240021,1,2,29,1,0,1,3
240022,1,2,40,1,0,1,3
240023,1,2,47,1,0,2,9
240024,1,2,4,1,0,0,9
240025,1,2,19,1,0,1,3
240026,1,2,4,1,0,0,2
240027,1,2,48,2,0,1,2
240028,1,2,5,2,0,1,3
240029,1,2,5,1,0,1,2
240030,3,2,4,2,0,1,2
240031,1,2,4,1,1,1,2
240032,1,1,18,2,0,2,1
240033,1,2,17,1,0,1,2
240034,1,2,47,2,0,1,2
240035,1,2,4,1,1,1,2
240036,1,1,4,1,0,0,2
240037,1,1,36,2,0,1,2
240038,1,2,4,1,1,0,9
240039,1,1,17,1,0,2,2
240040,1,2,4,1,0,1,2
240041,1,2,4,1,1,1,2
240042,1,1,34,1,0,2,1
240043,1,1,4,1,0,2,2
240044,3,1,4,1,0,2,1
240045,1,2,48,1,0,2,2
240046,1,1,8,1,0,1,1
240047,1,2,4,1,1,0,9
240048,1,1,4,1,1,0,9
240049,1,1,17,1,0,2,2
240050,3,1,4,2,0,2,2
240051,3,1,4,2,0,0,9
240052,1,1,4,1,0,0,9
240053,1,2,8,2,0,1,1
240054,1,2,4,2,1,1,2
240055,1,2,48,1,1,2,3
240056,2,1,47,1,0,2,1
240057,1,1,40,2,0,2,2
240058,1,2,42,1,0,1,1
240059,1,2,31,1,0,1,1
240060,1,1,4,1,0,2,2
240061,2,1,48,1,0,2,1
240062,1,2,4,1,0,0,9
240063,1,1,20,1,0,2,2
240064,3,2,4,2,0,0,2
240065,1,1,433,1,0,2,2
240066,1,1,4,1,1,0,9
240067,3,2,4,2,0,0,1
240068,1,2,4,1,1,0,9
240069,1,1,4,1,0,2,2
240070,1,1,55,1,0,2,3
240071,1,2,4,1,1,1,2
240072,1,2,49,1,0,1,1
240073,3,1,4,2,0,0,1
240074,1,2,4,2,0,0,9
240075,1,1,200,2,1,2,2
240076,1,1,4,1,0,0,9
240077,3,1,4,2,0,0,9
240078,3,2,4,2,0,2,2
240079,3,1,4,2,0,1,1
240080,1,1,35,1,1,1,2
240081,1,1,4,2,0,2,1
240082,3,2,4,2,0,2,2
240083,1,2,40,2,0,1,1
240084,1,1,200,1,1,2,2
240085,1,2,17,1,0,1,3
240086,1,2,4,1,0,0,9
240087,3,1,4,2,0,2,1
240088,1,1,4,1,0,0,2
240089,1,2,4,1,0,0,9
240090,1,2,29,2,0,1,1
240091,3,2,4,2,0,0,9
240092,1,2,48,1,0,1,2
240093,1,1,4,1,1,2,2
240094,1,2,4,1,0,1,2
240095,1,1,5,1,0,2,3
240096,1,2,4,1,1,0,9
240097,1,1,27,1,0,2,2
240098,1,2,21,1,0,1,2
240099,1,2,4,1,1,2,2
240100,1,2,4,1,1,1,2
240101,1,1,4,1,0,2,9
240102,3,1,4,2,0,0,2
240103,1,2,4,1,0,0,9
240104,1,2,401,1,0,1,1
240105,1,1,4,1,1,1,2
240106,1,1,200,2,1,2,2
240107,1,1,4,1,0,2,2
240108,1,1,35,1,0,0,2
240109,1,1,51,1,0,2,1
240110,2,2,40,1,0,1,9
240111,3,2,4,2,0,2,2
240112,1,2,6,1,0,1,1
240113,1,1,16,1,0,2,1
240114,1,1,4,1,0,0,9
240115,3,2,4,2,0,1,2
240116,1,2,200,2,1,1,2
240117,1,2,42,1,0,1,1
240118,1,2,19,1,0,2,1
240119,1,1,700,1,0,2,2
240120,3,2,4,2,0,0,2
240121,1,2,4,1,0,1,1
240122,2,2,48,1,0,1,2
240123,1,2,35,1,0,1,3
240124,1,1,4,2,0,0,9
240125,1,1,4,1,1,0,1
240126,1,1,13,1,0,2,2
240127,1,2,48,1,0,0,3
240128,3,1,4,2,0,2,1
240129,3,1,4,2,0,2,2
240130,1,1,48,1,0,0,3
240131,1,2,4,2,1,0,1
240132,1,2,4,2,1,0,1
240133,1,2,4,1,1,1,2
240134,1,1,6,1,0,0,9
240135,1,2,17,1,0,0,9
240136,1,2,40,1,0,2,3
240137,1,2,6,2,0,1,4
240138,1,2,4,1,1,0,2
240139,1,2,17,1,0,2,9
240140,1,1,42,1,0,1,2
240141,1,2,4,1,1,0,9
240142,1,1,4,2,1,0,2
240143,1,1,16,1,0,2,2
240144,1,1,150,1,0,2,1
240145,1,2,4,1,0,1,2
240146,1,1,18,1,0,1,2
240147,1,2,4,1,1,0,2
240148,1,1,200,1,1,2,2
240149,1,1,4,1,1,0,2
240150,1,1,4,2,0,2,1
240151,1,1,4,1,1,0,9
240152,1,2,200,1,1,1,1
240153,2,1,5,1,0,2,2
240154,1,2,4,1,0,0,1
240155,1,1,4,1,0,0,9
240156,1,1,46,1,0,2,1
240157,1,2,4,1,1,1,2
240158,1,1,21,1,0,2,9
240159,1,1,4,1,1,1,1
240160,1,2,4,1,1,1,2
240161,1,1,54,1,0,1,3
240162,1,2,4,2,0,1,2
240163,1,2,5,1,0,1,3
240164,1,1,4,1,1,0,9
240165,1,1,48,1,0,2,2
240166,1,2,42,1,0,1,1
240167,1,2,4,1,0,0,1
240168,1,2,40,1,0,1,3
240169,1,1,48,2,0,2,2
240170,1,2,4,1,0,0,9
240171,1,1,38,1,0,2,2
240172,1,1,25,1,0,1,2
240173,1,2,200,1,1,1,2
240174,3,1,4,1,0,0,2
240175,1,2,48,1,0,1,3
240176,1,2,414,1,0,2,3
240177,1,1,48,1,0,2,2
240178,1,2,6,1,0,0,2
240179,3,1,4,2,0,2,2
240180,1,2,4,1,1,1,2
240181,1,2,48,1,0,0,9
240182,1,2,49,2,0,1,1
240183,1,1,48,1,0,2,1
240184,1,2,37,1,0,1,1
240185,1,1,4,1,1,0,9
240186,1,1,4,1,1,0,9
240187,1,1,35,1,1,2,2
240188,1,2,20,1,0,2,3
240189,1,1,47,1,0,2,3
240190,1,2,20,1,0,1,3
240191,3,1,4,2,0,2,1
240192,1,2,49,1,0,1,3
240193,1,2,26,1,0,1,2
240194,1,1,31,1,0,2,3
240195,1,2,5,1,0,0,2
240196,1,1,4,2,0,2,1
240197,1,2,4,2,0,0,2
240198,1,2,4,1,0,0,1
240199,1,1,4,1,1,0,1
240200,1,1,40,1,0,2,3
240201,1,2,23,1,0,2,1
240202,1,1,4,1,0,0,2
240203,3,2,4,2,0,2,2
240204,1,1,4,1,0,0,9
240205,1,1,4,2,0,0,1
240206,1,2,4,1,0,0,2
240207,1,1,4,1,1,0,9
240208,1,2,21,1,0,1,9
240209,1,2,35,1,1,1,9
240210,1,2,4,1,0,1,2
240211,1,1,4,1,1,0,9
240212,1,1,39,1,0,1,9
240213,1,2,4,1,1,0,9
240214,1,2,5,2,0,1,2
240215,2,1,35,1,0,1,3
240216,1,1,29,1,0,1,1
240217,1,2,5,1,0,1,3
240218,1,2,17,1,0,0,2
240219,3,2,4,2,0,0,2
